"Id","Label","Classification"
"Alex Cox","Alex Cox","DIRECTOR"
"Lucky Number Slevin","Lucky Number Slevin","MOVIE"
"Paul McGuigan","Paul McGuigan","DIRECTOR"
"Divine Secrets of the Ya-Ya Sisterhood","Divine Secrets of the Ya-Ya Sisterhood","MOVIE"
"Ellen Burstyn","Ellen Burstyn","ACTOR"
"Matthew Settle","Matthew Settle","ACTOR"
"Callie Khouri","Callie Khouri","DIRECTOR"
"The Hit List","The Hit List","MOVIE"
"Drew Waters","Drew Waters","ACTOR"
"Sean Cook","Sean Cook","ACTOR"
"William Kaufman","William Kaufman","DIRECTOR"
"American Splendor","American Splendor","MOVIE"
"James Urbaniak","James Urbaniak","ACTOR"
"Daniel Tay","Daniel Tay","ACTOR"
"Shari Springer Berman","Shari Springer Berman","DIRECTOR"
"Texas Rangers","Texas Rangers","MOVIE"
"Usher Raymond","Usher Raymond","ACTOR"
"Leonor Varela","Leonor Varela","ACTOR"
"Steve Miner","Steve Miner","DIRECTOR"
"Joe Somebody","Joe Somebody","MOVIE"
"Ken Marino","Ken Marino","ACTOR"
"Sunshine Cleaning","Sunshine Cleaning","MOVIE"
"Mary Lynn Rajskub","Mary Lynn Rajskub","ACTOR"
"Paul Dooley","Paul Dooley","ACTOR"
"Christine Jeffs","Christine Jeffs","DIRECTOR"
"Predator","Predator","MOVIE"
"Shane Black","Shane Black","ACTOR-DIRECTOR"
"Bill Duke","Bill Duke","ACTOR-DIRECTOR"
"Carl Weathers","Carl Weathers","ACTOR"
"John McTiernan","John McTiernan","DIRECTOR"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day","MOVIE"
"Jennifer Garner","Jennifer Garner","ACTOR"
"Miguel Arteta","Miguel Arteta","DIRECTOR"
"The Flintstones","The Flintstones","MOVIE"
"Jonathan Winters","Jonathan Winters","ACTOR"
"Elizabeth Perkins","Elizabeth Perkins","ACTOR"
"Harvey Korman","Harvey Korman","ACTOR"
"The Bachelor","The Bachelor","MOVIE"
"Chris Harrison","Chris Harrison","ACTOR"
"The Sting","The Sting","MOVIE"
"Ray Walston","Ray Walston","ACTOR"
"George Roy Hill","George Roy Hill","DIRECTOR"
"Snow White: A Deadly Summer","Snow White: A Deadly Summer","MOVIE"
"Maureen McCormick","Maureen McCormick","ACTOR"
"Shanley Caswell","Shanley Caswell","ACTOR"
"Tim Abell","Tim Abell","ACTOR"
"David DeCoteau","David DeCoteau","DIRECTOR"
"The Class","The Class","MOVIE"
"Fran--ois B--gaudeau","Fran--ois B--gaudeau","ACTOR"
"Agame Malembo-Emene","Agame Malembo-Emene","ACTOR"
"Ang--lica Sancio","Ang--lica Sancio","ACTOR"
"Laurent Cantet","Laurent Cantet","DIRECTOR"
"Stolen Summer","Stolen Summer","MOVIE"
"Pete Jones","Pete Jones","DIRECTOR"
"U-571","U-571","MOVIE"
"Jonathan Mostow","Jonathan Mostow","DIRECTOR"
"The Da Vinci Code","The Da Vinci Code","MOVIE"
"Seth Gabel","Seth Gabel","ACTOR"
"Ron Howard","Ron Howard","ACTOR-DIRECTOR"
"22 Jump Street","22 Jump Street","MOVIE"
"Amber Stevens West","Amber Stevens West","ACTOR"
"Phil Lord","Phil Lord","DIRECTOR"
"Victor Frankenstein","Victor Frankenstein","MOVIE"
"Spencer Wilding","Spencer Wilding","ACTOR"
"Daniel Mays","Daniel Mays","ACTOR"
"Godzilla Resurgence","Godzilla Resurgence","MOVIE"
"Mark Chinnery","Mark Chinnery","ACTOR"
"Shin'ya Tsukamoto","Shin'ya Tsukamoto","ACTOR"
"Atsuko Maeda","Atsuko Maeda","ACTOR"
"Hideaki Anno","Hideaki Anno","DIRECTOR"
"Bandslam","Bandslam","MOVIE"
"Charlie Saxton","Charlie Saxton","ACTOR"
"Ryan Donowho","Ryan Donowho","ACTOR"
"Todd Graff","Todd Graff","ACTOR-DIRECTOR"
"Coco Before Chanel","Coco Before Chanel","MOVIE"
"Alessandro Nivola","Alessandro Nivola","ACTOR"
"Beno--t Poelvoorde","Beno--t Poelvoorde","ACTOR"
"Marie Gillain","Marie Gillain","ACTOR"
"Civil Brand","Civil Brand","MOVIE"
"Monica Calhoun","Monica Calhoun","ACTOR"
"LisaRaye McCoy","LisaRaye McCoy","ACTOR"
"Clifton Powell","Clifton Powell","ACTOR"
"Neema Barnette","Neema Barnette","DIRECTOR"
"Day One","Day One","MOVIE"
"Rus Blackwell","Rus Blackwell","ACTOR"
"Luis Antonio","Luis Antonio","ACTOR"
"Nathan Frankowski","Nathan Frankowski","DIRECTOR"
"Mad Max Beyond Thunderdome","Mad Max Beyond Thunderdome","MOVIE"
"Tina Turner","Tina Turner","ACTOR"
"The Benchwarmers","The Benchwarmers","MOVIE"
"Jon Heder","Jon Heder","ACTOR"
"Tim Meadows","Tim Meadows","ACTOR"
"Dennis Dugan","Dennis Dugan","DIRECTOR"
"Nikita","Nikita","MOVIE"
"Melinda Clarke","Melinda Clarke","ACTOR"
"Aaron Stanford","Aaron Stanford","ACTOR"
"Once in a Lifetime: The Extraordinary Story of the New York Cosmos","Once in a Lifetime: The Extraordinary Story of the New York Cosmos","MOVIE"
"Pel--","Pel--","ACTOR"
"Marv Albert","Marv Albert","ACTOR"
"Ahmet Ertegun","Ahmet Ertegun","ACTOR"
"Paul Crowder","Paul Crowder","DIRECTOR"
"Alex Cross","Alex Cross","MOVIE"
"Carmen Ejogo","Carmen Ejogo","ACTOR"
"Rob Cohen","Rob Cohen","DIRECTOR"
"Sorority Row","Sorority Row","MOVIE"
"Margo Harshman","Margo Harshman","ACTOR"
"Rumer Willis","Rumer Willis","ACTOR"
"Stewart Hendler","Stewart Hendler","DIRECTOR"
"Baby's Day Out","Baby's Day Out","MOVIE"
"Lara Flynn Boyle","Lara Flynn Boyle","ACTOR"
"Cynthia Nixon","Cynthia Nixon","ACTOR"
"Patrick Read Johnson","Patrick Read Johnson","DIRECTOR"
"Centurion","Centurion","MOVIE"
"JJ Feild","JJ Feild","ACTOR"
"Dave Legeno","Dave Legeno","ACTOR"
"Neil Marshall","Neil Marshall","DIRECTOR"
"Mutual Friends","Mutual Friends","MOVIE"
"Jennifer Lafleur","Jennifer Lafleur","ACTOR"
"Cheyenne Jackson","Cheyenne Jackson","ACTOR"
"Michael Stahl-David","Michael Stahl-David","ACTOR"
"Matthew Watts","Matthew Watts","DIRECTOR"
"New York Minute","New York Minute","MOVIE"
"Riley Smith","Riley Smith","ACTOR"
"Dennie Gordon","Dennie Gordon","DIRECTOR"
"Lucky Numbers","Lucky Numbers","MOVIE"
"Nora Ephron","Nora Ephron","DIRECTOR"
"The Signal","The Signal","MOVIE"
"Lin Shaye","Lin Shaye","ACTOR"
"Olivia Cooke","Olivia Cooke","ACTOR"
"Beau Knapp","Beau Knapp","ACTOR"
"William Eubank","William Eubank","DIRECTOR"
"Shrek","Shrek","MOVIE"
"Kathleen Freeman","Kathleen Freeman","ACTOR"
"Chris Miller","Chris Miller","ACTOR-DIRECTOR"
"Bobby Block","Bobby Block","ACTOR"
"Andrew Adamson","Andrew Adamson","DIRECTOR"
"Catwoman","Catwoman","MOVIE"
"Christopher Heyerdahl","Christopher Heyerdahl","ACTOR"
"Pitof","Pitof","DIRECTOR"
"The Conformist","The Conformist","MOVIE"
"Jean-Louis Trintignant","Jean-Louis Trintignant","ACTOR"
"Stefania Sandrelli","Stefania Sandrelli","ACTOR"
"Dominique Sanda","Dominique Sanda","ACTOR"
"Bernardo Bertolucci","Bernardo Bertolucci","DIRECTOR"
"Joyeux Noel","Joyeux Noel","MOVIE"
"Dany Boon","Dany Boon","ACTOR-DIRECTOR"
"Ian Richardson","Ian Richardson","ACTOR"
"Christian Carion","Christian Carion","DIRECTOR"
"Fantastic Mr. Fox","Fantastic Mr. Fox","MOVIE"
"Helen McCrory","Helen McCrory","ACTOR"
"In Too Deep","In Too Deep","MOVIE"
"Omar Epps","Omar Epps","ACTOR"
"Nia Long","Nia Long","ACTOR"
"Valiant","Valiant","MOVIE"
"Pip Torrens","Pip Torrens","ACTOR"
"Gary Chapman","Gary Chapman","DIRECTOR"
"Brighton Rock","Brighton Rock","MOVIE"
"Sean Harris","Sean Harris","ACTOR"
"Rowan Joffe","Rowan Joffe","DIRECTOR"
"We Are Marshall","We Are Marshall","MOVIE"
"Kimberly Williams-Paisley","Kimberly Williams-Paisley","ACTOR"
"Brian Geraghty","Brian Geraghty","ACTOR"
"The Extra Man","The Extra Man","MOVIE"
"Lynn Cohen","Lynn Cohen","ACTOR"
"Marian Seldes","Marian Seldes","ACTOR"
"Dan Hedaya","Dan Hedaya","ACTOR"
"The Purge: Election Year","The Purge: Election Year","MOVIE"
"Frank Grillo","Frank Grillo","ACTOR"
"Joseph Julian Soria","Joseph Julian Soria","ACTOR"
"Mykelti Williamson","Mykelti Williamson","ACTOR"
"James DeMonaco","James DeMonaco","DIRECTOR"
"The Legend of Tarzan","The Legend of Tarzan","MOVIE"
"Alexander Skarsg--rd","Alexander Skarsg--rd","ACTOR"
"Casper Crump","Casper Crump","ACTOR"
"David Yates","David Yates","DIRECTOR"
"Star Trek VI: The Undiscovered Country","Star Trek VI: The Undiscovered Country","MOVIE"
"Leonard Nimoy","Leonard Nimoy","ACTOR-DIRECTOR"
"Kurtwood Smith","Kurtwood Smith","ACTOR"
"Nichelle Nichols","Nichelle Nichols","ACTOR"
"Nicholas Meyer","Nicholas Meyer","DIRECTOR"
"Kingdom of Heaven","Kingdom of Heaven","MOVIE"
"Orlando Bloom","Orlando Bloom","ACTOR"
"Philip Glenister","Philip Glenister","ACTOR"
"Ridley Scott","Ridley Scott","DIRECTOR"
"Starsuckers","Starsuckers","MOVIE"
"Richard Curtis","Richard Curtis","ACTOR-DIRECTOR"
"Harvey Weinstein","Harvey Weinstein","ACTOR"
"Elton John","Elton John","ACTOR"
"Chris Atkins","Chris Atkins","DIRECTOR"
"Saint Ralph","Saint Ralph","MOVIE"
"Campbell Scott","Campbell Scott","ACTOR"
"Adam Butcher","Adam Butcher","ACTOR"
"Gordon Pinsent","Gordon Pinsent","ACTOR"
"Michael McGowan","Michael McGowan","DIRECTOR"
"Pixels","Pixels","MOVIE"
"Peter Dinklage","Peter Dinklage","ACTOR"
"Daredevil","Daredevil","MOVIE"
"Elden Henson","Elden Henson","ACTOR"
"Royce Johnson","Royce Johnson","ACTOR"
"Charlie Cox","Charlie Cox","ACTOR"
"Lake Placid","Lake Placid","MOVIE"
"Bridget Fonda","Bridget Fonda","ACTOR"
"Ty Olsson","Ty Olsson","ACTOR"
"Premonition","Premonition","MOVIE"
"Amber Valletta","Amber Valletta","ACTOR"
"Marc Macaulay","Marc Macaulay","ACTOR"
"Mennan Yapo","Mennan Yapo","DIRECTOR"
"Love Ranch","Love Ranch","MOVIE"
"Scout Taylor-Compton","Scout Taylor-Compton","ACTOR"
"Gil Birmingham","Gil Birmingham","ACTOR"
"Taylor Hackford","Taylor Hackford","DIRECTOR"
"Hearts in Atlantis","Hearts in Atlantis","MOVIE"
"Mika Boorem","Mika Boorem","ACTOR"
"Scott Hicks","Scott Hicks","DIRECTOR"
"The Adventures of Huck Finn","The Adventures of Huck Finn","MOVIE"
"Curtis Armstrong","Curtis Armstrong","ACTOR"
"Anne Heche","Anne Heche","ACTOR"
"Stephen Sommers","Stephen Sommers","DIRECTOR"
"Clay Pigeons","Clay Pigeons","MOVIE"
"Janeane Garofalo","Janeane Garofalo","ACTOR"
"Vince Vieluf","Vince Vieluf","ACTOR"
"Kevin Rahm","Kevin Rahm","ACTOR"
"David Dobkin","David Dobkin","DIRECTOR"
"Tucker and Dale vs Evil","Tucker and Dale vs Evil","MOVIE"
"Chelan Simmons","Chelan Simmons","ACTOR"
"Eli Craig","Eli Craig","DIRECTOR"
"Reign of Assassins","Reign of Assassins","MOVIE"
"Woo-sung Jung","Woo-sung Jung","ACTOR"
"Shawn Yue","Shawn Yue","ACTOR"
"Kelly Lin","Kelly Lin","ACTOR"
"Chao-Bin Su","Chao-Bin Su","DIRECTOR"
"Taken","Taken","MOVIE"
"Holly Valance","Holly Valance","ACTOR"
"Diamond Ruff","Diamond Ruff","MOVIE"
"Luis Sanchez","Luis Sanchez","ACTOR"
"Dennis L.A. White","Dennis L.A. White","ACTOR"
"Alec Asten","Alec Asten","DIRECTOR"
"Sleepover","Sleepover","MOVIE"
"Joe Nussbaum","Joe Nussbaum","DIRECTOR"
"The Lord of the Rings: The Return of the King","The Lord of the Rings: The Return of the King","MOVIE"
"Billy Boyd","Billy Boyd","ACTOR"
"Bernard Hill","Bernard Hill","ACTOR"
"Peter Jackson","Peter Jackson","DIRECTOR"
"Top Cat Begins","Top Cat Begins","MOVIE"
"Sariann Monaco","Sariann Monaco","ACTOR"
"David Hoffman","David Hoffman","ACTOR"
"Ben Diskin","Ben Diskin","ACTOR"
"Andr--s Couturier","Andr--s Couturier","DIRECTOR"
"Volver","Volver","MOVIE"
"Carmen Maura","Carmen Maura","ACTOR"
"Lola Due--as","Lola Due--as","ACTOR"
"Antonio de la Torre","Antonio de la Torre","ACTOR"
"Pedro Almod--var","Pedro Almod--var","DIRECTOR"
"The American","The American","MOVIE"
"Violante Placido","Violante Placido","ACTOR"
"Thekla Reuten","Thekla Reuten","ACTOR"
"Filippo Timi","Filippo Timi","ACTOR"
"Anton Corbijn","Anton Corbijn","DIRECTOR"
"Viy","Viy","MOVIE"
"Igor Jijikine","Igor Jijikine","ACTOR"
"Agnia Ditkovskite","Agnia Ditkovskite","ACTOR"
"Oleg Stepchenko","Oleg Stepchenko","DIRECTOR"
"Wuthering Heights","Wuthering Heights","MOVIE"
"Tom Hardy","Tom Hardy","ACTOR"
"Jack O'Connell","Jack O'Connell","ACTOR"
"Timeline","Timeline","MOVIE"
"Gerard Butler","Gerard Butler","ACTOR"
"Melancholia","Melancholia","MOVIE"
"Charlotte Rampling","Charlotte Rampling","ACTOR"
"A View to a Kill","A View to a Kill","MOVIE"
"Patrick Macnee","Patrick Macnee","ACTOR"
"Alison Doody","Alison Doody","ACTOR"
"Tanya Roberts","Tanya Roberts","ACTOR"
"Syriana","Syriana","MOVIE"
"Kayvan Novak","Kayvan Novak","ACTOR"
"Stephen Gaghan","Stephen Gaghan","DIRECTOR"
"Reno 911!: Miami","Reno 911!: Miami","MOVIE"
"Wendi McLendon-Covey","Wendi McLendon-Covey","ACTOR"
"Carlos Alazraqui","Carlos Alazraqui","ACTOR"
"Robert Ben Garant","Robert Ben Garant","DIRECTOR"
"Get Hard","Get Hard","MOVIE"
"Alison Brie","Alison Brie","ACTOR"
"Etan Cohen","Etan Cohen","DIRECTOR"
"2012","2012","MOVIE"
"Liam James","Liam James","ACTOR"
"Roland Emmerich","Roland Emmerich","DIRECTOR"
"Beauty Shop","Beauty Shop","MOVIE"
"Alfre Woodard","Alfre Woodard","ACTOR"
"Keshia Knight Pulliam","Keshia Knight Pulliam","ACTOR"
"Bille Woodruff","Bille Woodruff","DIRECTOR"
"Happily N'Ever After","Happily N'Ever After","MOVIE"
"George Carlin","George Carlin","ACTOR"
"Paul Bolger","Paul Bolger","DIRECTOR"
"Snowpiercer","Snowpiercer","MOVIE"
"Chris Evans","Chris Evans","ACTOR"
"Kang-ho Song","Kang-ho Song","ACTOR"
"Joon-ho Bong","Joon-ho Bong","DIRECTOR"
"The Astronaut's Wife","The Astronaut's Wife","MOVIE"
"Rand Ravich","Rand Ravich","DIRECTOR"
"Incendies","Incendies","MOVIE"
"Lubna Azabal","Lubna Azabal","ACTOR"
"M--lissa D--sormeaux-Poulin","M--lissa D--sormeaux-Poulin","ACTOR"
"Ahmad Massad","Ahmad Massad","ACTOR"
"Denis Villeneuve","Denis Villeneuve","DIRECTOR"
"Neighbors 2: Sorority Rising","Neighbors 2: Sorority Rising","MOVIE"
"Chlo-- Grace Moretz","Chlo-- Grace Moretz","ACTOR"
"Kiersey Clemons","Kiersey Clemons","ACTOR"
"Griff the Invisible","Griff the Invisible","MOVIE"
"Maeve Dermody","Maeve Dermody","ACTOR"
"Patrick Brammall","Patrick Brammall","ACTOR"
"Kelly Paterniti","Kelly Paterniti","ACTOR"
"Leon Ford","Leon Ford","DIRECTOR"
"The Rite","The Rite","MOVIE"
"Colin O'Donoghue","Colin O'Donoghue","ACTOR"
"September Dawn","September Dawn","MOVIE"
"Jon Gries","Jon Gries","ACTOR"
"Taylor Handley","Taylor Handley","ACTOR"
"Trent Ford","Trent Ford","ACTOR"
"Christopher Cain","Christopher Cain","DIRECTOR"
"X-Men 2","X-Men 2","MOVIE"
"Bryan Singer","Bryan Singer","DIRECTOR"
"Beverly Hills Cop II","Beverly Hills Cop II","MOVIE"
"Judge Reinhold","Judge Reinhold","ACTOR"
"Ronny Cox","Ronny Cox","ACTOR"
"The Doombolt Chase","The Doombolt Chase","MOVIE"
"Peter Vaughan","Peter Vaughan","ACTOR"
"George Coulouris","George Coulouris","ACTOR"
"Ewen Solon","Ewen Solon","ACTOR"
"This Is the End","This Is the End","MOVIE"
"Evan Goldberg","Evan Goldberg","DIRECTOR"
"Somewhere","Somewhere","MOVIE"
"Nathalie Fay","Nathalie Fay","ACTOR"
"Chris Pontius","Chris Pontius","ACTOR"
"Erin Wasson","Erin Wasson","ACTOR"
"Sofia Coppola","Sofia Coppola","DIRECTOR"
"Neal 'N' Nikki","Neal 'N' Nikki","MOVIE"
"Abhishek Bachchan","Abhishek Bachchan","ACTOR"
"Uday Chopra","Uday Chopra","ACTOR"
"Samantha McLeod","Samantha McLeod","ACTOR"
"Arjun Sablok","Arjun Sablok","DIRECTOR"
"Les Mis--rables","Les Mis--rables","MOVIE"
"Eddie Redmayne","Eddie Redmayne","ACTOR"
"Tom Hooper","Tom Hooper","DIRECTOR"
"City by the Sea","City by the Sea","MOVIE"
"Michael Caton-Jones","Michael Caton-Jones","DIRECTOR"
"Steamboy","Steamboy","MOVIE"
"William Hootkins","William Hootkins","ACTOR"
"Robin Atkin Downes","Robin Atkin Downes","ACTOR"
"Rosalind Ayres","Rosalind Ayres","ACTOR"
"Katsuhiro --tomo","Katsuhiro --tomo","DIRECTOR"
"Mad City","Mad City","MOVIE"
"William Atherton","William Atherton","ACTOR"
"Costa-Gavras","Costa-Gavras","DIRECTOR"
"Nowhere to Run","Nowhere to Run","MOVIE"
"Kieran Culkin","Kieran Culkin","ACTOR"
"Joss Ackland","Joss Ackland","ACTOR"
"Troop Beverly Hills","Troop Beverly Hills","MOVIE"
"Kellie Martin","Kellie Martin","ACTOR"
"Jeff Kanew","Jeff Kanew","DIRECTOR"
"District B13","District B13","MOVIE"
"David Belle","David Belle","ACTOR"
"Cyril Raffaelli","Cyril Raffaelli","ACTOR"
"Dany Verissimo-Petit","Dany Verissimo-Petit","ACTOR"
"Midnight Cabaret","Midnight Cabaret","MOVIE"
"Michael Des Barres","Michael Des Barres","ACTOR"
"Wilhelm von Homburg","Wilhelm von Homburg","ACTOR"
"Thom Mathews","Thom Mathews","ACTOR"
"Pece Dingo","Pece Dingo","DIRECTOR"
"The Majestic","The Majestic","MOVIE"
"Jeffrey DeMunn","Jeffrey DeMunn","ACTOR"
"Frank Darabont","Frank Darabont","DIRECTOR"
"For Greater Glory: The True Story of Cristiada","For Greater Glory: The True Story of Cristiada","MOVIE"
"Santiago Cabrera","Santiago Cabrera","ACTOR"
"Eduardo Ver--stegui","Eduardo Ver--stegui","ACTOR"
"Catalina Sandino Moreno","Catalina Sandino Moreno","ACTOR"
"Dean Wright","Dean Wright","DIRECTOR"
"3 Days to Kill","3 Days to Kill","MOVIE"
"Richard Sammel","Richard Sammel","ACTOR"
"T--mas Lemarquis","T--mas Lemarquis","ACTOR"
"Red Riding: In the Year of Our Lord 1974","Red Riding: In the Year of Our Lord 1974","MOVIE"
"Andrew Garfield","Andrew Garfield","ACTOR"
"Warren Clarke","Warren Clarke","ACTOR"
"John Henshaw","John Henshaw","ACTOR"
"Julian Jarrold","Julian Jarrold","DIRECTOR"
"2016: Obama's America","2016: Obama's America","MOVIE"
"Barack Obama","Barack Obama","ACTOR"
"Zackary Steven Graham","Zackary Steven Graham","ACTOR"
"Dinesh D'Souza","Dinesh D'Souza","ACTOR-DIRECTOR"
"The Count of Monte Cristo","The Count of Monte Cristo","MOVIE"
"Happy, Texas","Happy, Texas","MOVIE"
"Ally Walker","Ally Walker","ACTOR"
"Illeana Douglas","Illeana Douglas","ACTOR"
"Mark Illsley","Mark Illsley","DIRECTOR"
"Let's Go to Prison","Let's Go to Prison","MOVIE"
"Dylan Baker","Dylan Baker","ACTOR"
"Chi McBride","Chi McBride","ACTOR"
"Amy Hill","Amy Hill","ACTOR"
"Bob Odenkirk","Bob Odenkirk","DIRECTOR"
"Code 46","Code 46","MOVIE"
"Samantha Morton","Samantha Morton","ACTOR"
"Om Puri","Om Puri","ACTOR"
"Natalie Mendoza","Natalie Mendoza","ACTOR"
"Michael Winterbottom","Michael Winterbottom","DIRECTOR"
"21 & Over","21 & Over","MOVIE"
"Justin Chon","Justin Chon","ACTOR"
"Josie Loren","Josie Loren","ACTOR"
"Jon Lucas","Jon Lucas","DIRECTOR"
"To Kill a Mockingbird","To Kill a Mockingbird","MOVIE"
"Brock Peters","Brock Peters","ACTOR"
"William Windom","William Windom","ACTOR"
"Robert Mulligan","Robert Mulligan","DIRECTOR"
"Adulterers","Adulterers","MOVIE"
"Mehcad Brooks","Mehcad Brooks","ACTOR"
"Steffinnie Phrommany","Steffinnie Phrommany","ACTOR"
"Danielle Savre","Danielle Savre","ACTOR"
"H.M. Coakley","H.M. Coakley","DIRECTOR"
"Spartacus: War of the Damned","Spartacus: War of the Damned","MOVIE"
"Peter Mensah","Peter Mensah","ACTOR"
"Kelvin Taylor","Kelvin Taylor","ACTOR"
"Viva Bianca","Viva Bianca","ACTOR"
"Dear Wendy","Dear Wendy","MOVIE"
"Chris Owen","Chris Owen","ACTOR"
"Thomas Vinterberg","Thomas Vinterberg","DIRECTOR"
"Argo","Argo","MOVIE"
"Scoot McNairy","Scoot McNairy","ACTOR"
"Tate Donovan","Tate Donovan","ACTOR"
"Ben Affleck","Ben Affleck","DIRECTOR"
"A Perfect Getaway","A Perfect Getaway","MOVIE"
"David Twohy","David Twohy","DIRECTOR"
"The Postman Always Rings Twice","The Postman Always Rings Twice","MOVIE"
"Michael Lerner","Michael Lerner","ACTOR"
"John Colicos","John Colicos","ACTOR"
"Bob Rafelson","Bob Rafelson","DIRECTOR"
"Drive Hard","Drive Hard","MOVIE"
"Zoe Ventoura","Zoe Ventoura","ACTOR"
"Damien Garvey","Damien Garvey","ACTOR"
"Christopher Sommers","Christopher Sommers","ACTOR"
"Brian Trenchard-Smith","Brian Trenchard-Smith","DIRECTOR"
"Bernie","Bernie","MOVIE"
"Brandon Smith","Brandon Smith","ACTOR"
"Rick Dial","Rick Dial","ACTOR"
"The Longest Day","The Longest Day","MOVIE"
"Richard Burton","Richard Burton","ACTOR"
"Richard Beymer","Richard Beymer","ACTOR"
"Eddie Albert","Eddie Albert","ACTOR"
"Ken Annakin","Ken Annakin","DIRECTOR"
"Bella","Bella","MOVIE"
"Armando Riesco","Armando Riesco","ACTOR"
"Ramon Rodriguez","Ramon Rodriguez","ACTOR"
"Alejandro Monteverde","Alejandro Monteverde","DIRECTOR"
"JFK","JFK","MOVIE"
"Jay O. Sanders","Jay O. Sanders","ACTOR"
"Cheryl Penland","Cheryl Penland","ACTOR"
"Pet Sematary","Pet Sematary","MOVIE"
"Miko Hughes","Miko Hughes","ACTOR"
"Fred Gwynne","Fred Gwynne","ACTOR"
"Denise Crosby","Denise Crosby","ACTOR"
"Mary Lambert","Mary Lambert","DIRECTOR"
"Wristcutters: A Love Story","Wristcutters: A Love Story","MOVIE"
"Patrick Fugit","Patrick Fugit","ACTOR"
"Chase Ellison","Chase Ellison","ACTOR"
"Goran Dukic","Goran Dukic","DIRECTOR"
"Journey to Saturn","Journey to Saturn","MOVIE"
"Iben Hjejle","Iben Hjejle","ACTOR"
"Frank Hvam","Frank Hvam","ACTOR"
"Casper Christensen","Casper Christensen","ACTOR"
"Thorbj--rn Christoffersen","Thorbj--rn Christoffersen","DIRECTOR"
"Blonde Ambition","Blonde Ambition","MOVIE"
"Drew Fuller","Drew Fuller","ACTOR"
"Larry Miller","Larry Miller","ACTOR"
"Scott Marshall","Scott Marshall","DIRECTOR"
"Central Intelligence","Central Intelligence","MOVIE"
"Rawson Marshall Thurber","Rawson Marshall Thurber","DIRECTOR"
"One Direction: This Is Us","One Direction: This Is Us","MOVIE"
"Harry Styles","Harry Styles","ACTOR"
"Zayn Malik","Zayn Malik","ACTOR"
"Niall Horan","Niall Horan","ACTOR"
"Morgan Spurlock","Morgan Spurlock","DIRECTOR"
"The Brown Bunny","The Brown Bunny","MOVIE"
"Vincent Gallo","Vincent Gallo","ACTOR-DIRECTOR"
"Cheryl Tiegs","Cheryl Tiegs","ACTOR"
"Anna Vareschi","Anna Vareschi","ACTOR"
"Akeelah and the Bee","Akeelah and the Bee","MOVIE"
"Sean Michael Afable","Sean Michael Afable","ACTOR"
"Tzi Ma","Tzi Ma","ACTOR"
"Doug Atchison","Doug Atchison","DIRECTOR"
"American History X","American History X","MOVIE"
"Beverly D'Angelo","Beverly D'Angelo","ACTOR"
"Stacy Keach","Stacy Keach","ACTOR"
"Tony Kaye","Tony Kaye","DIRECTOR"
"The Age of Adaline","The Age of Adaline","MOVIE"
"Michiel Huisman","Michiel Huisman","ACTOR"
"Lee Toland Krieger","Lee Toland Krieger","DIRECTOR"
"A Nightmare on Elm Street","A Nightmare on Elm Street","MOVIE"
"Amanda Wyss","Amanda Wyss","ACTOR"
"The Loss of Sexual Innocence","The Loss of Sexual Innocence","MOVIE"
"Saffron Burrows","Saffron Burrows","ACTOR"
"Julian Sands","Julian Sands","ACTOR"
"Mike Figgis","Mike Figgis","DIRECTOR"
"Don McKay","Don McKay","MOVIE"
"Pruitt Taylor Vince","Pruitt Taylor Vince","ACTOR"
"M. Emmet Walsh","M. Emmet Walsh","ACTOR"
"Robert Wahlberg","Robert Wahlberg","ACTOR"
"Jake Goldberger","Jake Goldberger","DIRECTOR"
"Super Troopers","Super Troopers","MOVIE"
"The Innkeepers","The Innkeepers","MOVIE"
"Jake Ryan","Jake Ryan","ACTOR"
"Pat Healy","Pat Healy","ACTOR"
"Sur le seuil","Sur le seuil","MOVIE"
"Patrick Huard","Patrick Huard","ACTOR"
"Michel C--t--","Michel C--t--","ACTOR"
"Jean Pierre Bergeron","Jean Pierre Bergeron","ACTOR"
"--ric Tessier","--ric Tessier","DIRECTOR"
"Snow White: A Tale of Terror","Snow White: A Tale of Terror","MOVIE"
"David Conrad","David Conrad","ACTOR"
"Monica Keena","Monica Keena","ACTOR"
"Michael Cohn","Michael Cohn","DIRECTOR"
"Wall Street: Money Never Sleeps","Wall Street: Money Never Sleeps","MOVIE"
"Austin Pendleton","Austin Pendleton","ACTOR"
"John Buffalo Mailer","John Buffalo Mailer","ACTOR"
"Sky Captain and the World of Tomorrow","Sky Captain and the World of Tomorrow","MOVIE"
"Laurence Olivier","Laurence Olivier","ACTOR"
"Kerry Conran","Kerry Conran","DIRECTOR"
"The Neon Demon","The Neon Demon","MOVIE"
"Charles Baker","Charles Baker","ACTOR"
"Running Scared","Running Scared","MOVIE"
"Wayne Kramer","Wayne Kramer","DIRECTOR"
"Eat Pray Love","Eat Pray Love","MOVIE"
"Ryan Murphy","Ryan Murphy","DIRECTOR"
"Pride and Glory","Pride and Glory","MOVIE"
"Clueless","Clueless","MOVIE"
"Donald Faison","Donald Faison","ACTOR"
"Elisa Donovan","Elisa Donovan","ACTOR"
"Amy Heckerling","Amy Heckerling","DIRECTOR"
"Seed of Chucky","Seed of Chucky","MOVIE"
